UNG	"carbetocin,0.95979"	"glibenclamide,0.95756"	"NF-449,0.94434"	"PD-158780,0.94188"	"ARG-CSC-91,0.94019"	"alda-1,0.93482"	"7-nitroindazole,0.93206"	"RS-I-002-6,0.91642"	"ivachtin,0.91352"	"BRD-K56196992,0.90973"	"oligomycin-a,0.9073"	"curcumin,0.9073"	"JTE-907,0.90582"	"CI-976,0.90531"	"IRL-2500,0.9025"	"PD-98059,0.90077"	"CHEMBL-1222381,0.89955"	"BRD-A09984573,0.89755"	"BRD-K76236182,0.89405"	"ASN-05257430,0.89339"
UQCR11	"prednisolone,0.9419"	"lovastatin,0.92289"	"BRD-K30229575,0.91867"	"BRD-K88822846,0.91789"	"SA-423131,0.9169"	"elesclomol,0.91188"	"alvespimycin,0.90824"	"BRD-K05331696,0.9079"	"BRD-K55896799,0.9067"	"BRD-K62242359,0.90467"	"BRD-A13964793,0.90027"	"BRD-K48803730,0.8993"	"RO-3306,0.89916"	"U-0126,0.89681"	"BRD-K51377689,0.89443"	"protriptyline,0.89276"	"aloisine,0.88917"	"BRD-K39187410,0.88915"	"flutamide,0.88719"	"16,16-dimethylprostaglandin-e2,0.88644"
UQCRB	"parthenolide,0.95207"	"fluoropyruvate,0.93637"	"AC-55649,0.9245"	"BRD-K24346336,0.92435"	"EO-1428,0.90611"	"BRD-K40758391,0.89548"	"necrostatin-1,0.8947"	"prostratin,0.88614"	"KU-C104493,0.8854"	"BRD-K45205755,0.87968"	"clofibric-acid,0.87917"	"dexamethasone,0.87461"	"BRD-A49848186,0.87193"	"BRD-K66884694,0.86955"	"NFKB-activation-inhibitor-II,0.86921"	"R-96544,0.86722"	"SJ-172550,0.86574"	"BL-050,0.86004"	"rhamnetin,0.85984"	"kenpaullone,0.8524"
UQCRC1	"alvocidib,0.976"	"puromycin,0.97583"	"anisomycin,0.97558"	"oxetane,0.97534"	"staurosporine,0.97402"	"camptothecin,0.97327"	"avicin-g,0.96133"	"CP466722,0.96028"	"MD-041,0.95975"	"amsacrine,0.95967"	"JNJ-7706621,0.95584"	"mitomycin-c,0.9537"	"dactinomycin,0.95286"	"cucurbitacin-i,0.95118"	"CGP-60474,0.94776"	"RS-I-002-6,0.94754"	"staurosporine,0.94704"	"BRD-K83670234,0.94652"	"STK-397047,0.94341"	"BRD-K44366801,0.94311"
UQCRFS1	"digoxin,0.93846"	"CD-437,0.92465"	"AZD-7762,0.91469"	"digitoxigenin,0.9141"	"clofarabine,0.9025"	"ellipticine,0.90071"	"digoxin,0.89955"	"MW-A1-12,0.8916"	"BRD-K19166598,0.88909"	"ouabain,0.88505"	"homoharringtonine,0.88229"	"methylene-blue,0.88166"	"digoxin,0.8814"	"puromycin,0.87522"	"amsacrine,0.86922"	"PD-198306,0.86876"	"withaferin-a,0.86714"	"chaetocin,0.86647"	"proscillaridin,0.85991"	"ouabain,0.8595"
USF1	"BRD-K19166598,0.96762"	"cercosporin,0.96601"	"afatinib,0.95789"	"phorbol-12-myristate-13-acetate,0.95778"	"SA-25547,0.95757"	"BRD-K07877311,0.95065"	"calmidazolium,0.94904"	"BRD-K55116708,0.9469"	"CD-1530,0.94611"	"cucurbitacin-i,0.94569"	"selamectin,0.94466"	"AG-592,0.94441"	"penfluridol,0.94424"	"SA-1478088,0.94305"	"arachidonyl-trifluoro-methane,0.94289"	"BRD-K80786583,0.94038"	"AG-879,0.93889"	"JW-7-24-1,0.9385"	"BRD-A68065211,0.93826"	"BRD-K18163752,0.93755"
USP1	"oxetane,0.9608"	"auranofin,0.95917"	"camptothecin,0.93768"	"staurosporine,0.937"	"alvocidib,0.92894"	"CCCP,0.92794"	"JNJ-7706621,0.91991"	"BRD-K58479490,0.91923"	"AZD-7762,0.91833"	"KUC111774N,0.91794"	"BRD-K85853281,0.91295"	"BRD-K55896799,0.91073"	"BRD-K55116708,0.90709"	"COL-3,0.90689"	"avicin-g,0.90604"	"staurosporine,0.90028"	"BRD-A37735495,0.9"	"BRD-K19166598,0.8894"	"NNC-55-0396,0.88747"	"indirubin,0.8814"
USP14	"tetrindole,0.96935"	"flavokavain-b,0.9459"	"BRD-K18163752,0.94013"	"BRD-K28366633,0.93903"	"ingenol,0.93489"	"erbstatin-analog,0.9346"	"cercosporin,0.93408"	"BRD-A09719808,0.93294"	"prostratin,0.93258"	"manumycin-a,0.93244"	"salermide,0.92719"	"ON-01910,0.92214"	"MLN-2238,0.92082"	"KF-38789,0.92016"	"manumycin-a,0.91969"	"BRD-K44366801,0.91626"	"triciribine,0.91465"	"VU-0365114-2,0.91373"	"cucurbitacin-i,0.91149"	"BRD-K24686773,0.90585"
USP15	"5-iodotubercidin,0.96309"	"staurosporine,0.95505"	"A-443644,0.94062"	"pidorubicine,0.93872"	"sirolimus,0.93813"	"pirarubicin,0.93426"	"everolimus,0.93405"	"BRD-K32944375,0.92487"	"staurosporine,0.92177"	"danusertib,0.91075"	"PI-828,0.91074"	"hydroxyl,0.90832"	"EI-247,0.90605"	"PAC-1,0.90454"	"BRD-A18411371,0.90159"	"fasudil,0.90108"	"diclofenac,0.89934"	"daunorubicin,0.89506"	"doxorubicin,0.89341"	"mocetinostat,0.89153"
USP16	"wortmannin,0.97125"	"7b-cis,0.9504"	"PP-110,0.94587"	"selumetinib,0.94455"	"RS-I-002-6,0.93967"	"BRD-K66037923,0.93872"	"BMS-754807,0.93321"	"sulconazole,0.92738"	"VAMA-37,0.92337"	"ellipticine,0.9221"	"SU-11652,0.91525"	"PP-1,0.91292"	"BRD-K06217810,0.91181"	"rimcazole,0.90965"	"afatinib,0.90857"	"aminopurvalanol-a,0.90589"	"SID-26681509,0.90496"	"dichlorobenzamil,0.90316"	"KUC111774N,0.89788"	"PI-828,0.89753"
USP20	"oxetane,0.97376"	"K784-3188,0.97095"	"arachidonyl-trifluoro-methane,0.96152"	"manumycin-a,0.95997"	"SCH-79797,0.95794"	"BRD-K21064560,0.95665"	"RS-I-002-6,0.94857"	"camptothecin,0.94714"	"manumycin-a,0.94343"	"5-iodotubercidin,0.94205"	"BI-78D3,0.94174"	"BRD-A58924247,0.93831"	"avicin-g,0.93747"	"BRD-A37735495,0.93345"	"NSC-632839,0.93182"	"staurosporine,0.92948"	"BRD-A43155244,0.92754"	"BRD-A36275421,0.92737"	"BRD-K60870698,0.92634"	"COT-10b,0.92518"
