WWTR1	"mirin,0.97537"	"ABT-751,0.96694"	"VU-0418934-2,0.95545"	"CYT-997,0.9551"	"MLN-4924,0.95036"	"nocodazole,0.94986"	"BRD-K66884694,0.94704"	"isoliquiritigenin,0.94438"	"MD-049,0.94428"	"alvespimycin,0.92944"	"mebendazole,0.92863"	"enzastaurin,0.92481"	"PKCbeta-inhibitor,0.92471"	"fluoropyruvate,0.92342"	"ST-056792,0.9223"	"chlorambucil,0.92193"	"BRD-K44366801,0.92044"	"BRD-K52321331,0.91657"	"BRD-A27640568,0.91505"	"cyclopiazonic-acid,0.90981"
SQRDL	"oleoylethanolamide,0.87536"	"BRD-K61001510,0.8683"	"AC-55649,0.85364"	"resveratrol,0.85295"	"ARG-TC-41,0.81587"	"pifithrin-mu,0.80977"	"triamterene,0.8065"	"BRD-K54335715,0.78912"	"necrostatin-1,0.78359"	"AS-605240,0.77436"	"THZ-2-98-01,0.77279"	"BRD-K87313043,0.76264"	"BRD-U88878891,0.76148"	"benperidol,0.75137"	"cholic-acid,0.75053"	"phenoxybenzamine,0.7504"	"BRD-K24798550,0.74765"	"etacrynic-acid,0.74311"	"MW-A1-12,0.7423"	"BRD-A18411371,0.73792"
SOX2	"aminopurvalanol-a,0.98192"	"doxorubicin,0.97459"	"trichostatin-a,0.97222"	"HC-toxin,0.97094"	"merck-ketone,0.96833"	"NCH-51,0.96688"	"pidorubicine,0.96588"	"dactinomycin,0.9637"	"trichostatin-a,0.96116"	"BRD-K94493764,0.95936"	"belinostat,0.95793"	"BRD-K83694683,0.9567"	"THM-I-94,0.95305"	"BRD-K85853281,0.94917"	"dacinostat,0.94773"	"BRD-K30351863,0.94658"	"WT-171,0.94084"	"MD-II-008-P,0.93881"	"dactinomycin,0.93692"	"scriptaid,0.93562"
SDHB	"AC-55649,0.85664"	"PT-630,0.8505"	"linopirdine,0.84263"	"16,16-dimethylprostaglandin-e2,0.82215"	"fluoropyruvate,0.81535"	"AS-605240,0.79976"	"BRD-K56477805,0.79615"	"pindolol,0.79228"	"dexamethasone,0.78605"	"3,3'-diindolylmethane,0.77982"	"BRD-K43913647,0.77762"	"ascorbyl-palmitate,0.76397"	"LFM-A13,0.7566"	"sulforaphane,0.7464"	"orteronel,0.74124"	"BRD-K88742110,0.73884"	"RAN-07,0.7244"	"BRD-K55487965,0.71958"	"BRD-K36772364,0.70009"	"RHO-kinase-inhibitor-III[rockout],0.69534"
SATB2	"VU-0410183-2,0.97353"	"niclosamide,0.97125"	"VU-0418946-1,0.96136"	"BRD-K78385490,0.95853"	"JAK3-inhibitor-VI,0.95803"	"phorbol-12-myristate-13-acetate,0.95689"	"BRD-K08307026,0.95471"	"VU-0418939-2,0.95316"	"prostratin,0.94984"	"SA-792987,0.9452"	"merck-ketone,0.94269"	"amsacrine,0.94248"	"BRD-K61717269,0.9419"	"BRD-A06276885,0.94154"	"ingenol,0.94136"	"EMF-sumo1-39,0.94045"	"IKK-2-inhibitor-V,0.93834"	"BRD-K68548958,0.93742"	"KB-R7943,0.93575"	"BRD-K55844427,0.93535"
PSMB10	"EI-247,0.90699"	"pindolol,0.86236"	"BRD-K42455570,0.81578"	"BRD-A26595446,0.79933"	"BMY-45778,0.78917"	"PD-184352,0.78492"	"PRL-3-inhibitor-I,0.768"	"FPL-64176,0.76529"	"BRD-K61753121,0.7634"	"BRD-A95937159,0.7622"	"withaferin-a,0.74733"	"triciribine,0.73126"	"thiotepa,0.72896"	"CI-976,0.72512"	"aprepitant,0.71758"	"necrostatin-1,0.7157"	"BRD-K00954209,0.70548"	"oligomycin-a,0.70409"	"SD-6-035-A6,0.6994"	"sunitinib,0.69034"
PRKCE	"prostratin,0.99747"	"phorbol-12-myristate-13-acetate,0.99493"	"ingenol,0.99454"	"BRD-K49712247,0.96781"	"QS-11,0.94722"	"HU-211,0.9395"	"obatoclax,0.92576"	"triciribine,0.91677"	"NVP-BEZ235,0.91053"	"mebendazole,0.90971"	"KF-38789,0.90916"	"cytochalasin-d,0.90912"	"triciribine,0.90623"	"CD-437,0.90432"	"pyrvinium-pamoate,0.9035"	"cercosporin,0.90165"	"BRD-K21773564,0.89751"	"cladribine,0.89505"	"BRD-K77480336,0.88964"	"wortmannin,0.88342"
POU5F1	"AS-605240,0.98054"	"U0126,0.97498"	"PD-0325901,0.97098"	"selumetinib,0.95998"	"MD-049,0.94134"	"PD-0325901,0.93225"	"malonoben,0.9306"	"diphenyleneiodonium,0.92064"	"cucurbitacin-i,0.91127"	"TG-101348,0.90164"	"BRD-K19724398,0.8946"	"BRD-K00313977,0.89424"	"BRD-K03829970,0.89306"	"BRD-K28366633,0.89056"	"K784-3187,0.88961"	"SN-38,0.88211"	"BRD-K29140223,0.87682"	"XMD-1150,0.87613"	"MLN-2238,0.8748"	"DY-131,0.87114"
PLK1	"staurosporine,0.93369"	"digoxigenin,0.89431"	"oxetane,0.87559"	"indolophenanthridine,0.85353"	"strophanthidin,0.84909"	"alvocidib,0.82845"	"cymarin,0.82148"	"KUC111774N,0.80906"	"fludarabine,0.80884"	"BRD-K88278225,0.80594"	"FU-JMBII105B,0.80538"	"staurosporine,0.78198"	"camptothecin,0.77862"	"mitomycin-c,0.76644"	"epigallocatechin,0.76477"	"COL-3,0.76354"	"BRD-K79222491,0.75755"	"perhexiline,0.75389"	"SID-26681509,0.75032"	"MD-II-051,0.74788"
PASD1	"NSC-3852,0.96199"	"BRD-K08307026,0.95723"	"arachidonyl-trifluoro-methane,0.94981"	"beclometasone,0.94026"	"BRD-K60870698,0.93633"	"BRD-K61717269,0.93441"	"VU-0418933-1,0.93239"	"MG-132,0.92747"	"BRD-K81795824,0.92127"	"F-1566-0341,0.92096"	"cucurbitacin-i,0.91975"	"BRD-K85051645,0.91469"	"radicicol,0.91399"	"clobetasol,0.91373"	"EMF-bca1-16,0.91129"	"manumycin-a,0.91057"	"tyrphostin-AG-1478,0.91043"	"SA-1447005,0.90988"	"VU-0410183-2,0.90729"	"STK-249718,0.90624"
PAF1	"BRD-K61894884,0.82526"	"prostaglandin-a1,0.78953"	"BRD-K55533488,0.76978"	"BRD-K70693222,0.76704"	"withaferin-a,0.75248"	"BI-78D3,0.72302"	"fulvestrant,0.7001"	"BRD-K64024097,0.69165"	"BRD-K90999434,0.68108"	"10-DEBC,0.68075"	"KIN001-127,0.6769"	"sulforaphane,0.67531"	"BRD-K45205755,0.67193"	"clomifene,0.6649"	"loperamide,0.65464"	"BRD-K51608872,0.64152"	"L-690488,0.6332"	"fostamatinib,0.62736"	"TUL-XX023,0.60119"	"GW-843682X,0.60022"
OLIG3	"CA-074-Me,0.96528"	"CVF-SUMO-7,0.89276"	"brazilin,0.89004"	"BRD-K88198340,0.88717"	"BO2-inhibits-RAD51,0.87873"	"flavokavain-b,0.87546"	"quiflapon,0.87525"	"SA-792709,0.86924"	"15-delta-prostaglandin-j2,0.84897"	"radicicol,0.84159"	"BRD-K86574132,0.82486"	"BRD-K36772364,0.8238"	"quinoclamine,0.81946"	"cerulenin,0.81921"	"parthenolide,0.81723"	"BRD-K56593336,0.80306"	"sappanone-a,0.7977"	"SSR-69071,0.79757"	"BRD-K89224880,0.79389"	"BRD-K05331696,0.78527"
NFKBIA	"beclometasone,0.83729"	"BRD-K62818989,0.80365"	"BRD-K19181733,0.79207"	"iodoacetic-acid,0.78043"	"BRD-A94570195,0.77552"	"PIK-90,0.7752"	"BRD-K99502566,0.73869"	"crizotinib,0.72752"	"cytochalasin-b,0.72737"	"reversine,0.72382"	"YM-155,0.70954"	"valdecoxib,0.705"	"camptothecin,0.6998"	"KU-0060648,0.69861"	"PP-110,0.68837"	"TGX-221,0.67567"	"GDC-0879,0.67125"	"belinostat,0.6694"	"BRD-K49094915,0.66633"	"trichostatin-a,0.66127"
MYCBP	"parthenolide,0.87199"	"BRD-A39599596,0.86761"	"thioridazine,0.85376"	"LFM-A13,0.82623"	"BRD-K25144184,0.82427"	"BRD-K19166598,0.80769"	"digoxin,0.80462"	"cytochalasin-b,0.8025"	"BRD-K90826279,0.7976"	"rolipram,0.79405"	"BRD-K89009594,0.78038"	"BRD-K89097220,0.77375"	"cytosporone-b,0.77249"	"BRD-K59036917,0.76817"	"BMS-754807,0.76722"	"profenamine,0.76619"	"ispinesib,0.7653"	"QL-X-138,0.76373"	"BRD-K01621458,0.74949"	"lovastatin,0.74935"
MTF2	"SU-11274,0.96501"	"BRD-K96167523,0.90632"	"BRD-K89224880,0.90256"	"BRD-A61825514,0.9021"	"BRD-K78056905,0.88871"	"BRD-K95606637,0.87753"	"pepstatin,0.87602"	"BRD-K80786583,0.86913"	"dexketoprofen,0.86615"	"BRD-K64024097,0.86552"	"BRD-K01121114,0.86176"	"EX-527,0.85813"	"BRD-K61894884,0.85624"	"n-(3-acetamidophenyl)-3-chlorobenzamide,0.85201"	"toremifene,0.83841"	"erastin,0.83828"	"curcumin,0.83477"	"palbociclib,0.83193"	"CHEMBL-374350,0.82731"	"BRD-K70693222,0.82526"
MTERFD1	"SKF-81297,0.81557"	"afatinib,0.794"	"VER-155008,0.77211"	"liothyronine,0.76405"	"BRD-K22210218,0.75433"	"penfluridol,0.74885"	"parthenolide,0.73424"	"digoxin,0.72725"	"BRD-K71935468,0.72549"	"irinotecan,0.71688"	"indirubin,0.71368"	"BRD-K61753121,0.7107"	"BRD-K19166598,0.70064"	"BRD-K60870698,0.68932"	"PD-198306,0.6822"	"lawsone,0.68072"	"etoposide,0.67998"	"ST-056792,0.67938"	"zebularine,0.67293"	"menadione,0.67273"
MEIS2	"teniposide,0.96414"	"amonafide,0.96194"	"valdecoxib,0.9605"	"BRD-K77480336,0.95871"	"SN-38,0.95793"	"amsacrine,0.95535"	"pyrvinium-pamoate,0.95368"	"BRD-K14027855,0.94244"	"CGP-71683,0.94"	"etoposide,0.93941"	"aminopurvalanol-a,0.93683"	"irinotecan,0.93669"	"idarubicin,0.93636"	"KB-R7943,0.93395"	"cyclosporin-a,0.9335"	"BRD-K38625260,0.93062"	"camptothecin,0.93045"	"indolophenanthridine,0.93022"	"KIN001-127,0.92545"	"7b-cis,0.925"
LYN	"phorbol-12-myristate-13-acetate,0.99325"	"prostratin,0.9893"	"ingenol,0.98491"	"KUC111774N,0.96662"	"BRD-K78385490,0.96506"	"BRD-K60870698,0.9637"	"BRD-K92317137,0.95862"	"MG-132,0.95482"	"CGP-71683,0.94877"	"VU-0418939-2,0.94122"	"SA-792987,0.93373"	"CD-437,0.93284"	"GR-127935,0.93231"	"BRD-K14027855,0.93219"	"niclosamide,0.9319"	"lylamine,0.93151"	"BRD-K52321331,0.93129"	"VU-0418947-2,0.93065"	"SA-1478088,0.93065"	"BRD-K18163752,0.92823"
KLF6	"prostratin,0.99196"	"phorbol-12-myristate-13-acetate,0.98854"	"ingenol,0.98515"	"simvastatin,0.9835"	"selumetinib,0.97838"	"cytochalasin-d,0.97571"	"atorvastatin,0.96868"	"parthenolide,0.96543"	"BRD-K08307026,0.96353"	"7b-cis,0.95934"	"lovastatin,0.95886"	"wortmannin,0.95515"	"SA-792987,0.95278"	"mevastatin,0.95138"	"fluvastatin,0.94369"	"aminopurvalanol-a,0.93654"	"NCH-51,0.93613"	"BX-795,0.93611"	"wortmannin,0.93433"	"neratinib,0.93421"
